"char" "freq"
"5" "专业" 173
"7" "业务" 153
"10" "行业" 135
"11" "招聘" 128
"12" "后悔" 125
"14" "发展" 115
"18" "部门" 102
"19" "能力" 101
"20" "很多" 99
"22" "岗位" 98
"23" "管控" 89
"24" "需要" 88
"26" "问题" 85
"31" "老板" 76
"35" "人才" 68
"36" "员工" 68
"37" "职业" 66
"38" "选择" 66
"39" "人事" 65
"40" "价值" 64
"44" "培训" 59
"45" "体系" 57
"46" "事情" 57
"48" "组织" 56
"51" "学习" 52
"52" "重要" 51
"54" "咨询" 49
"55" "模块" 49
"57" "比较" 48
"58" "领导" 48
"59" "个人" 46
"60" "薪酬" 46
"61" "时间" 44
"62" "经验" 44
"64" "转行" 43
"66" "了解" 43
"71" "沟通" 42
"72" "经历" 41
"74" "技术" 41
"75" "毕业" 41
"76" "绩效" 41
"77" "技能" 40
"78" "方向" 40
"80" "基本" 39
"83" "机会" 37
"85" "战略" 37
"87" "面试" 37
"93" "服务" 35
"94" "情况" 35
"96" "不断" 35
"100" "发现" 33
"101" "内容" 33
"102" "相关" 33
"103" "销售" 33
"107" "工资" 32
"108" "关系" 31
"109" "理解" 31
"111" "喜欢" 31
"114" "提升" 31
"115" "容易" 31
"117" "经理" 30
"119" "进入" 30
"121" "往往" 29
"122" "面对" 29
"123" "未来" 29
"124" "具备" 29
"126" "资源" 29
"128" "项目" 28
"130" "做到" 28
"131" "证书" 27
"132" "要求" 27
"133" "下" 27
"134" "每天" 27
"135" "进行" 27
"136" "经营" 27
"137" "活动" 26
"138" "离职" 26
"140" "学" 26
"141" "不要" 26
"142" "过程" 26
"143" "互联网" 26
"144" "就业" 26
"146" "业务部门" 25
"147" "不错" 25
"148" "城市" 25
"149" "认为" 25
"150" "方面" 25
"151" "OD" 25
"152" "专员" 25
"153" "人资" 25
"154" "影响" 25
"155" "知识" 25
"156" "BP" 24
"157" "本身" 24
"158" "思维" 24
"159" "财务" 24
"160" "团队" 24
"161" "客户" 24
"162" "目标" 24
"163" "搞" 24
"164" "特别" 24
"165" "掌握" 24
"166" "领域" 24
"167" "人员" 24
"168" "实现" 24
"169" "别人" 24
"170" "行政" 23
"171" "主管" 23
"172" "天花板" 23
"173" "大学" 23
"174" "生活" 23
"176" "理论" 23
"177" "比亚迪" 23
"178" "做好" 23
"179" "方案" 23
"180" "几个" 23
"181" "制度" 22
"182" "关注" 22
"183" "不到" 22
"184" "成长" 22
"185" "确实" 22
"186" "重视" 22
"187" "后来" 22
"188" "分享" 22
"189" "写" 22
"190" "直接" 22
"192" "简单" 22
"193" "水平" 22
"194" "成本" 22
"195" "职位" 22
"196" "运营" 21
"197" "考虑" 21
"199" "当时" 21
"200" "接触" 21
"201" "思考" 21
"202" "大部分" 21
"203" "只能" 21
"205" "市场" 21
"206" "决定" 21
"207" "看到" 21
"208" "找到" 20
"211" "回答" 20
"212" "角色" 20
"214" "得到" 20
"216" "人生" 20
"217" "希望" 20
"218" "更好" 20
"219" "整体" 20
"220" "时代" 20
"221" "迷茫" 20
"222" "以上" 19
"223" "肯定" 19
"224" "教练" 19
"225" "基础" 19
"226" "适合" 19
"228" "方法" 19
"229" "真正" 19
"230" "一点" 19
"231" "原因" 19
"232" "从业者" 19
"233" "无法" 19
